experiment_id,timestamp,protocol,configuration,algorithm,classical_component,pqc_component,network_profile,iteration,latency_us,elapsed_s,user_cpu_s,system_cpu_s,memory_kb,tcp_payload_bytes,ip_packets,success
tls_baseline_hybrid_20260901_151439_1,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,1,11269,,,,,,,1
tls_baseline_hybrid_20260901_151439_2,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,2,8372,,,,,,,1
tls_baseline_hybrid_20260901_151439_3,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,3,9307,,,,,,,1
tls_baseline_hybrid_20260901_151439_4,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,4,8468,,,,,,,1
tls_baseline_hybrid_20260901_151439_5,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,5,8274,,,,,,,1
tls_baseline_hybrid_20260901_151439_6,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,6,9841,,,,,,,1
tls_baseline_hybrid_20260901_151439_7,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,7,11751,,,,,,,1
tls_baseline_hybrid_20260901_151439_8,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,8,9389,,,,,,,1
tls_baseline_hybrid_20260901_151439_9,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,9,9161,,,,,,,1
tls_baseline_hybrid_20260901_151439_10,2026-09-01T15:14:39+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,baseline,10,10251,,,,,,,1
ssh_baseline_classical_20260901_151439_1,2026-09-01T15:14:40+00:00,SSH,Classical,X25519,X25519,None,baseline,1,600442,,,,,,,1
ssh_baseline_classical_20260901_151439_2,2026-09-01T15:14:40+00:00,SSH,Classical,X25519,X25519,None,baseline,2,172826,,,,,,,1
ssh_baseline_classical_20260901_151439_3,2026-09-01T15:14:40+00:00,SSH,Classical,X25519,X25519,None,baseline,3,181758,,,,,,,1
ssh_baseline_classical_20260901_151439_4,2026-09-01T15:14:40+00:00,SSH,Classical,X25519,X25519,None,baseline,4,187662,,,,,,,1
ssh_baseline_classical_20260901_151439_5,2026-09-01T15:14:40+00:00,SSH,Classical,X25519,X25519,None,baseline,5,199201,,,,,,,1
ssh_baseline_classical_20260901_151439_6,2026-09-01T15:14:41+00:00,SSH,Classical,X25519,X25519,None,baseline,6,194361,,,,,,,1
ssh_baseline_classical_20260901_151439_7,2026-09-01T15:14:41+00:00,SSH,Classical,X25519,X25519,None,baseline,7,182973,,,,,,,1
ssh_baseline_classical_20260901_151439_8,2026-09-01T15:14:41+00:00,SSH,Classical,X25519,X25519,None,baseline,8,215423,,,,,,,1
ssh_baseline_classical_20260901_151439_9,2026-09-01T15:14:41+00:00,SSH,Classical,X25519,X25519,None,baseline,9,185493,,,,,,,1
ssh_baseline_classical_20260901_151439_10,2026-09-01T15:14:41+00:00,SSH,Classical,X25519,X25519,None,baseline,10,191697,,,,,,,1
ssh_baseline_hybrid_20260901_151439_1,2026-09-01T15:14:42+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,1,258415,,,,,,,1
ssh_baseline_hybrid_20260901_151439_2,2026-09-01T15:14:42+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,2,226079,,,,,,,1
ssh_baseline_hybrid_20260901_151439_3,2026-09-01T15:14:42+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,3,247494,,,,,,,1
ssh_baseline_hybrid_20260901_151439_4,2026-09-01T15:14:42+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,4,262689,,,,,,,1
ssh_baseline_hybrid_20260901_151439_5,2026-09-01T15:14:43+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,5,231600,,,,,,,1
ssh_baseline_hybrid_20260901_151439_6,2026-09-01T15:14:43+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,6,241307,,,,,,,1
ssh_baseline_hybrid_20260901_151439_7,2026-09-01T15:14:43+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,7,246542,,,,,,,1
ssh_baseline_hybrid_20260901_151439_8,2026-09-01T15:14:43+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,8,232596,,,,,,,1
ssh_baseline_hybrid_20260901_151439_9,2026-09-01T15:14:44+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,9,236769,,,,,,,1
ssh_baseline_hybrid_20260901_151439_10,2026-09-01T15:14:44+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,baseline,10,255451,,,,,,,1
tls_latency100_classical_20260901_151444_1,2026-09-01T15:14:45+00:00,TLS,Classical,X25519,X25519,None,latency100,1,629710,,,,,,,1
tls_latency100_classical_20260901_151444_2,2026-09-01T15:14:45+00:00,TLS,Classical,X25519,X25519,None,latency100,2,632179,,,,,,,1
tls_latency100_classical_20260901_151444_3,2026-09-01T15:14:46+00:00,TLS,Classical,X25519,X25519,None,latency100,3,631379,,,,,,,1
tls_latency100_classical_20260901_151444_4,2026-09-01T15:14:47+00:00,TLS,Classical,X25519,X25519,None,latency100,4,636464,,,,,,,1
tls_latency100_classical_20260901_151444_5,2026-09-01T15:14:47+00:00,TLS,Classical,X25519,X25519,None,latency100,5,627625,,,,,,,1
